"launch_date","agency_type","mission","dodge"
1967-06-29,"state","Secor Type II S/N 10",0.98009718535468
1967-08-23,"state","DAPP 3419",0.651903013465926
1967-10-11,"state","DAPP 4417",0.149964480428025
1968-05-23,"state","DAPP 5420",0.982105437200516
1968-10-23,"state","DAPP 6422",0.86453246511519
1969-07-23,"state","DAPP 7421",0.367591903312132
1970-02-11,"state","DAPP Block 5A F-1",0.332082973327488
1970-09-03,"state","DAPP Block 5A F-2",0.699678938603029
1971-02-17,"state","DAPP Block 5A F-3",0.470435502473265
1971-06-08,"state","P70-1",0.237053199671209
1971-10-14,"state","DMSP Block 5B F-1 (SV-2)",0.948573579778895
1972-03-24,"state","DMSP Block 5B F-2 (SV-1)",0.236943196738139
1972-11-09,"state","DMSP Block 5B F-3",0.348659981274977
1973-08-17,"state","DMSP Block 5B F-4",0.368955573765561
1974-03-16,"state","DMSP Block 5B F-5",0.398233101004735
1974-08-09,"state","DMSP Block 5C F-1",0.134626306360587
1975-05-24,"state","DMSP Block 5C F-2",0.0826798463240266
1976-02-19,"state","DMSP Block 5C F-3",0.232814822345972
1976-09-11,"state","DMSP Block 5D S-1",0.963796458672732
1977-06-05,"state","DMSP Block 5D S-2",0.983650777721778
1978-05-01,"state","DMSP Block 5D S-3",0.144491151208058
1979-06-06,"state","DMSP Block 5D S-5",0.139054491650313
1998-05-17,"state","Iridium SV070",0.788158605108038
1998-06-10,"state","Thor 3",0.270562132587656
1998-09-08,"state","Iridium SV082",0.806795623153448
1998-10-24,"state","Deep Space 1",0.0767765725031495
1998-11-06,"state","Iridium SV087",0.504092023707926
1998-11-22,"state","BONUM-1",0.369799308711663
1998-12-11,"state","MCO",0.347953780787066
1999-01-03,"state","MPL",0.136622151359916
1999-02-07,"state","Stardust",0.750517560401931
1999-02-23,"state","P91-1",0.281251052860171
1999-04-15,"state","Landsat 7",0.326819997979328
1999-05-05,"state","Orion 3",0.352811839897186
1999-06-10,"state","Globalstar M025",0.802535460563377
1999-06-24,"state","Far UV Spec. Explorer",0.886888771317899
1999-07-10,"state","Globalstar M035",0.431611475767568
1999-07-25,"state","Globalstar M048",0.506672008894384
1999-08-17,"state","Globalstar M024",0.66269363113679
1999-10-07,"state","Navstar GPS SVN 46",0.11598065472208
2000-02-08,"state","Globalstar 63",0.179712282493711
1998-08-27,"state","Galaxy X",0.0995224853977561
1999-04-09,"state","DSP 19?",0.558536896016449
1999-04-30,"state","Milstar DFS-3",0.612470543710515
1998-05-13,"state","NOAA K",0.012407976668328
1998-08-12,"state","MERCURY 3",0.111430654069409
1958-02-01,"state","Explorer 1",0.635108101647347
1958-03-26,"state","Explorer 3",0.403410166501999
1958-07-26,"state","Explorer 4",0.898706550011411
1958-03-05,"state","Explorer 2",0.819379264488816
1958-08-24,"state","Explorer 5",0.61179825454019
1958-10-23,"state","Beacon",0.917421608231962
1984-11-10,"private","Spacenet F2",0.960504780523479
1984-05-23,"private","Spacenet F1",0.476695971563458
1984-08-04,"private","ECS 2",0.700227498309687
1985-02-08,"private","Arabsat 1A",0.405750361038372
1985-05-08,"private","Gstar 1A",0.492411695886403
1985-07-02,"private","Giotto",0.774095284519717
1986-02-22,"private","SPOT",0.566905179759488
1986-03-28,"private","Gstar 2",0.712592306779698
1987-09-16,"private","Aussat K3",0.860303117427975
1987-11-21,"private","TV-SAT",0.90133243938908
1988-12-11,"private","Skynet 4B",0.625426726415753
1988-03-11,"private","Spacenet 3R",0.373192348284647
1988-05-17,"private","INTELSAT VA F13",0.815397646278143
1988-06-15,"private","Meteosat P2",0.276303127640858
1988-07-21,"private","Insat 1C",0.907054303912446
1988-09-08,"private","Gstar 3",0.470673668663949
1988-10-28,"private","TDF 1",0.0361757366918027
1989-01-27,"private","INTELSAT VA F15",0.447501744842157
1989-03-06,"private","JCSAT 1",0.126924533164129
1989-04-02,"private","Tele-X",0.166360127273947
1989-06-05,"private","Superbird A",0.716619589366019
1989-07-12,"private","Olympus",0.0703567815944552
1989-08-08,"private","TV-SAT 2",0.0318676002789289
1989-10-27,"private","INTELSAT VI F-2",0.616165118059143
1990-11-20,"private","Satcom C1",0.10440361010842
1990-01-22,"private","SPOT 2",0.903301731916144
1990-07-24,"private","TDF 2",0.0984309504274279
1990-08-30,"private","Skynet 4C",0.533927861368284
1990-10-12,"private","SBS 6",0.956028366694227
1991-01-15,"private","Italsat 1",0.587263538502157
1991-03-02,"private","Astra 1B",0.596373541047797
1991-04-04,"private","Anik E2",0.184986642794684
1991-07-17,"private","ERS-1",0.546048640040681
1991-08-14,"private","INTELSAT VI F-5",0.892949175555259
1991-09-26,"private","Anik E1",0.789043921045959
1991-10-29,"private","INTELSAT VI F-1",0.456213012337685
1991-12-16,"private","Telecom 2A",0.0990021750330925
1992-02-26,"private","Superbird B1",0.264347708085552
1992-04-15,"private","Telecom 2B",0.687639989657328
1992-07-09,"private","Insat 2A",0.0289292584639043
1992-08-10,"private","Topex-Poseidon",0.393133824458346
1992-09-10,"private","Hispasat 1A",0.977211527759209
1992-10-28,"private","Galaxy VII",0.985688917804509
1992-12-01,"private","Superbird A1",0.683351211016998
1993-05-12,"private","Astra 1C",0.016584352357313
1993-06-25,"private","Galaxy IVH",0.119381535565481
1993-07-22,"private","Hispasat 1B",0.0395464892499149
1993-09-26,"private","SPOT 3",0.749999090563506
1993-10-22,"private","INTELSAT 701",0.0820302288047969
1993-11-20,"private","Solidaridad 1",0.0300727863796055
1993-12-18,"private","DBS 1",0.680037245852873
1994-06-17,"private","INTELSAT 702",0.124241646612063
1994-07-08,"private","Panamsat K1",0.626725528622046
1994-08-10,"private","Brasilsat B1",0.990888827480376
1994-09-09,"private","Telstar 402",0.0123592894524336
1994-10-08,"private","Solidaridad 2",0.369667982449755
1994-11-01,"private","Astra 1D",0.450378835434094
1995-03-28,"private","Brasilsat B2",0.727579269558191
1995-04-21,"private","ERS-2",0.43031327216886
1995-05-17,"private","INTELSAT 706",0.157851766562089
1995-06-10,"private","DBS 3",0.664255309849977
1995-07-07,"private","Helios 1A",0.0607027958612889
1995-08-03,"private","Panamsat K3",0.364177929703146
1995-08-29,"private","N-STAR a",0.454194750636816
1995-09-24,"private","Telstar 402R",0.585712180705741
1995-10-19,"private","Astra 1E",0.373857443919405
1995-11-17,"private","ISO",0.806713628815487
1995-12-06,"private","Telecom 2C",0.996662285877392
1996-01-12,"private","Panamsat K4",0.816091779852286
1996-02-05,"private","N-Star b",0.759550563292578
1996-03-14,"private","INTELSAT 707",0.119305775733665
1996-04-20,"private","MSAT-1",0.486077275127172
1996-05-16,"private","Palapa C2",0.425282988231629
1996-06-15,"private","INTELSAT 709",0.960716628469527
1996-07-09,"private","Arabsat 2A",0.116875792853534
1996-08-08,"private","Italsat F2",0.0184840627480298
1996-09-11,"private","Echostar II",0.584119756240398
1996-11-13,"private","Arabsat 2B",0.550829744664952
1997-01-30,"private","GE 2",0.838209385983646
1997-03-01,"private","INTELSAT 801",0.132624804507941
1997-04-16,"private","Thaicom 3",0.207908153999597
1997-06-03,"private","INMARSAT III F4",0.714339511934668
1997-06-25,"private","INTELSAT 802",0.0555906794033945
1997-08-08,"private","PAS 6",0.443778154440224
1997-09-02,"private","Eutelsat HB3",0.746806715847924
1997-09-23,"private","INTELSAT 803",0.388747953111306
1997-11-12,"private","Sirius 2",0.928329712944105
1997-12-02,"private","JCSAT 5",0.406444530701265
1997-12-22,"private","INTELSAT 804",0.519816671963781
1998-02-04,"private","Brasilsat B3",0.612326257163659
1998-02-27,"private","Eutelsat HB4",0.466995050664991
1998-03-24,"private","SPOT-4",0.0707872984930873
1998-04-28,"private","Nilesat 101",0.730553656816483
1998-08-25,"private","Singapore-Taiwan 1",0.510714376578107
1998-09-16,"private","PAS 7",0.287845797371119
1998-10-05,"private","Eutelsat W2",0.993739130208269
1998-10-21,"private","Maqsat-3",0.649204064626247
1998-10-28,"private","Afristar",0.054265423445031
1998-12-06,"private","Satmex 5",0.72513453499414
1998-12-22,"private","PAS 6B",0.387709146132693
1999-02-26,"private","Arabsat 3A",0.486170903779566
1999-04-02,"private","Insat 2E",0.59533980442211
1999-08-12,"private","Telkom 1",0.285523102385923
1999-09-04,"private","Koreasat 3",0.619263405678794
1999-09-25,"private","Telstar 7",0.935987859033048
1999-10-19,"private","Orion 2",0.990961749572307
1999-11-13,"private","GE 4",0.763497384730726
1999-12-03,"private","Helios 1B",0.467132838442922
1999-12-10,"private","XMM",0.96872327895835
1999-12-22,"private","Galaxy 11",0.635355215286836
2000-01-25,"private","Galaxy XR",0.898136500967667
2000-02-18,"private","Superbird 4",0.579193445853889
2000-03-21,"private","Asiastar",0.397237081546336
2000-04-19,"private","Galaxy IVR",0.714317143429071
2000-08-17,"private","Brasilsat B4",0.869566804496571
2000-09-06,"private","Eutelsat W1",0.166617689887062
2000-09-14,"private","Astra 2B",0.808954580919817
2000-10-06,"private","Superbird 5",0.57957722642459
2000-10-29,"private","EuropeStar FM1",0.0254391029011458
2000-11-16,"private","PAS 1R",0.302135231439024
2000-11-21,"private","Anik F1",0.52796568046324
2000-12-20,"private","Astra 2D",0.263300030259416
2001-01-10,"private","Eurasiasat 1",0.192756654461846
2001-02-07,"private","SICRAL 1A",0.768754675518721
2001-03-08,"private","Eurobird",0.017323907231912
2001-06-09,"private","IS-901",0.795854528667405
2001-07-12,"private","Artemis",0.962711163563654
2001-08-30,"private","INTELSAT 902",0.254385270643979
2001-09-25,"private","Atlantic Bird 2",0.678072907263413
2001-11-27,"private","DirecTV-4S",0.855805474799126
2002-01-23,"private","Insat 3C",0.576556779677048
2002-02-23,"private","INTELSAT 904",0.723109914921224
2002-03-01,"private","Envisat PPF",0.480460261693224
2002-03-29,"private","JCSAT-8",0.261673353845254
2002-04-16,"private","NSS 7",0.0854372847825289
2002-05-04,"private","SPOT 5",0.978403134038672
2002-06-05,"private","INTELSAT 905",0.751563585130498
2002-07-05,"private","Stellat 5",0.441320140380412
2002-08-28,"private","Atlantic Bird 1",0.560179722961038
2002-09-06,"private","INTELSAT 906",0.214953917311504
2002-12-17,"private","NSS 6",0.571126930881292
2003-02-15,"private","INTELSAT 907",0.755565903149545
2003-04-09,"private","Insat 3A",0.532675890717655
2003-06-11,"private","BSAT-2c",0.545698818052188
2003-09-27,"private","e-Bird",0.00143118598498404
2004-03-02,"private","Rosetta",0.589983836282045
2004-07-18,"private","Anik F2",0.306680561741814
2004-12-18,"private","Helios 2A",0.890334341442212
2005-08-11,"private","iPSTAR 1",0.482085921103135
2005-10-13,"private","Galaxy 15",0.00773303280584514
2005-12-21,"private","Insat 4A",0.167570612160489
2006-03-11,"private","Spainsat",0.748362723039463
2006-05-27,"private","Satmex 6",0.982805902371183
2006-08-11,"private","JCSAT 10",0.584830200299621
2006-10-13,"private","DirecTV 9S",0.236073538893834
2006-12-08,"private","WildBlue 1",0.283144190674648
2007-03-11,"private","Insat 4B",0.71131684165448
2007-05-04,"private","Astra 1L",0.991482372628525
2007-08-14,"private","Spaceway 3",0.103671930264682
2007-10-05,"private","Optus D2",0.811868040589616
2007-11-14,"private","Star One C1",0.406706286361441
2007-12-21,"private","Rascom 1",0.688341674860567
2008-03-09,"private","ATV 1",0.469111885875463
2008-04-18,"private","Vinasat",0.882804346969351
2008-06-12,"private","Skynet 5C",0.697571210796013
2008-07-07,"private","Protostar 1",0.835700553376228
2008-08-14,"private","Superbird 7",0.630794069031253
2008-12-20,"private","Hot Bird 9",0.816474233055487
2009-02-12,"private","NSS 9",0.197322807973251
2009-05-14,"private","Herschel",0.55082344613038
2009-07-01,"private","Terrestar 1",0.776603614445776
2009-08-21,"private","JCSAT 12",0.00676843454129994
2009-10-01,"private","Amazonas 2",0.534709774656221
2009-10-29,"private","NSS 12",0.468118263874203
2009-12-18,"private","Helios 2B",0.155629272107035
2010-05-21,"private","Astra 3B",0.0610599643550813
2010-06-26,"private","COMS-1",0.622054350329563
2010-08-04,"private","Nilesat 201",0.0406527838204056
2010-10-28,"private","Eutelsat W3B",0.411567819770426
2010-11-26,"private","Hylas",0.680209621088579
2010-12-29,"private","Hispasat 1E",0.521342693129554
2011-02-16,"private","ATV 2",0.482401357265189
2011-04-22,"private","Intelsat New Dawn",0.165088439360261
2011-05-20,"private","INSAT-4G",0.667556680040434
2011-08-06,"private","Astra 1N",0.508764389436692
2011-09-21,"private","SES-2",0.297634101007134
2011-10-21,"private","Galileo PFM",0.547403583768755
2011-12-17,"private","Elisa 1",0.786406906321645
2012-03-23,"private","ATV 3",0.0812268629670143
2012-05-15,"private","JCSAT 13",0.44246650650166
2012-07-05,"private","Jupiter 1",0.167714289622381
2012-08-02,"private","Intelsat IS-20",0.616407044231892
2012-09-28,"private","Astra 2F",0.139200424076989
2012-10-12,"private","Galileo FM3",0.0349018156994134
2012-11-10,"private","Star One C3",0.71492599369958
2012-12-02,"private","Pleiades HR-2",0.314755615312606
2012-12-19,"private","Skynet 5D",0.909542253473774
2013-02-07,"private","Amazonas 3/Azerspace",0.499575966736302
2013-05-07,"private","PROBA-V",0.518480192869902
2013-06-05,"private","ATV 4",0.042586584109813
2013-06-25,"private","O3b SV1/SV2/SV4/SV5",0.802515202434734
2013-07-25,"private","Alphasat/Insat-3D",0.726035539060831
2013-08-29,"private","Es'hail/GSAT-7",0.237495378823951
2013-12-19,"private","Gaia",0.28907538484782
2014-02-06,"private","ABS-2/Athena-Fidus",0.918104756157845
2014-03-22,"private","Astra 5B/Amazonas 4A",0.266550655243918
2014-04-03,"private","Sentinel 1A",0.649500025203452
2014-04-30,"private","KazEOSat-1",0.302887689089403
2014-07-10,"private","O3b SV3/SV6/SV7/SV8",0.127732718363404
2014-07-29,"private","ATV 5",0.941604008665308
2014-08-22,"private","GalileoSat 5-6",0.362495578825474
2014-09-11,"private","Measat 3B/Optus 10",0.914533862611279
2014-10-16,"private","IS-30/Arsat 1",0.439237519865856
2014-12-06,"private","DirectTV-14/GSAT-16",0.0770432420540601
2014-12-18,"private","O3b SV9/SV10/SV11/SV12",0.359678440727293
2015-03-27,"private","GalileoSat 7-8",0.28031249018386
2015-04-26,"private","Sicral 2/Thor 7",0.377243880880997
2015-05-27,"private","DirecTV-15/SKYM-1",0.744184579933062
