"gender","occ","employ_n","year"
"Men","Management, business, and financial operations occupations",707000,2020
"Men","Professional and related occupations",36000,2020
"Men","Protective service occupations",11000,2020
"Men","Service occupations, except protective",52000,2020
"Men","Sales and related occupations",6000,2020
"Men","Office and administrative support occupations",16000,2020
"Men","Farming, fishing, and forestry occupations",714000,2020
"Men","Construction and extraction occupations",10000,2020
"Men","Installation, maintenance, and repair occupations",31000,2020
"Men","Production occupations",36000,2020
"Men","Transportation and material moving occupations",80000,2020
"Men","Management, business, and financial operations occupations",104000,2020
"Men","Professional and related occupations",90000,2020
"Men","Protective service occupations",1000,2020
"Men","Service occupations, except protective",4000,2020
"Men","Sales and related occupations",9000,2020
"Men","Office and administrative support occupations",11000,2020
"Men","Farming, fishing, and forestry occupations",0,2020
"Men","Construction and extraction occupations",200000,2020
"Men","Installation, maintenance, and repair occupations",38000,2020
"Men","Production occupations",56000,2020
"Men","Transportation and material moving occupations",72000,2020
"Men","Management, business, and financial operations occupations",1894000,2020
"Men","Professional and related occupations",256000,2020
"Men","Protective service occupations",10000,2020
"Men","Service occupations, except protective",32000,2020
"Men","Sales and related occupations",112000,2020
"Men","Office and administrative support occupations",101000,2020
"Men","Farming, fishing, and forestry occupations",6000,2020
"Men","Construction and extraction occupations",6157000,2020
"Men","Installation, maintenance, and repair occupations",604000,2020
"Men","Production occupations",147000,2020
"Men","Transportation and material moving occupations",294000,2020
"Men","Management, business, and financial operations occupations",1831000,2020
"Men","Professional and related occupations",1722000,2020
"Men","Protective service occupations",26000,2020
"Men","Service occupations, except protective",111000,2020
"Men","Sales and related occupations",402000,2020
"Men","Office and administrative support occupations",466000,2020
"Men","Farming, fishing, and forestry occupations",15000,2020
"Men","Construction and extraction occupations",287000,2020
"Men","Installation, maintenance, and repair occupations",607000,2020
"Men","Production occupations",3857000,2020
"Men","Transportation and material moving occupations",932000,2020
"Men","Management, business, and financial operations occupations",1197000,2020
"Men","Professional and related occupations",1305000,2020
"Men","Protective service occupations",12000,2020
"Men","Service occupations, except protective",50000,2020
"Men","Sales and related occupations",257000,2020
"Men","Office and administrative support occupations",290000,2020
"Men","Farming, fishing, and forestry occupations",7000,2020
"Men","Construction and extraction occupations",221000,2020
"Men","Installation, maintenance, and repair occupations",383000,2020
"Men","Production occupations",2562000,2020
"Men","Transportation and material moving occupations",530000,2020
"Men","Management, business, and financial operations occupations",634000,2020
"Men","Professional and related occupations",417000,2020
"Men","Protective service occupations",13000,2020
"Men","Service occupations, except protective",61000,2020
"Men","Sales and related occupations",145000,2020
"Men","Office and administrative support occupations",176000,2020
"Men","Farming, fishing, and forestry occupations",8000,2020
"Men","Construction and extraction occupations",66000,2020
"Men","Installation, maintenance, and repair occupations",224000,2020
"Men","Production occupations",1295000,2020
"Men","Transportation and material moving occupations",402000,2020
"Men","Management, business, and financial operations occupations",940000,2020
"Men","Professional and related occupations",559000,2020
"Men","Protective service occupations",49000,2020
"Men","Service occupations, except protective",265000,2020
"Men","Sales and related occupations",4491000,2020
"Men","Office and administrative support occupations",680000,2020
"Men","Farming, fishing, and forestry occupations",27000,2020
"Men","Construction and extraction occupations",124000,2020
"Men","Installation, maintenance, and repair occupations",640000,2020
"Men","Production occupations",373000,2020
"Men","Transportation and material moving occupations",2488000,2020
"Men","Management, business, and financial operations occupations",340000,2020
"Men","Professional and related occupations",106000,2020
"Men","Protective service occupations",7000,2020
"Men","Service occupations, except protective",28000,2020
"Men","Sales and related occupations",855000,2020
"Men","Office and administrative support occupations",159000,2020
"Men","Farming, fishing, and forestry occupations",16000,2020
"Men","Construction and extraction occupations",24000,2020
"Men","Installation, maintenance, and repair occupations",140000,2020
"Men","Production occupations",86000,2020
"Men","Transportation and material moving occupations",597000,2020
"Men","Management, business, and financial operations occupations",600000,2020
"Men","Professional and related occupations",453000,2020
"Men","Protective service occupations",42000,2020
"Men","Service occupations, except protective",237000,2020
"Men","Sales and related occupations",3636000,2020
"Men","Office and administrative support occupations",521000,2020
"Men","Farming, fishing, and forestry occupations",10000,2020
"Men","Construction and extraction occupations",100000,2020
"Men","Installation, maintenance, and repair occupations",500000,2020
"Men","Production occupations",287000,2020
"Men","Transportation and material moving occupations",1891000,2020
"Men","Management, business, and financial operations occupations",708000,2020
"Men","Professional and related occupations",303000,2020
"Men","Protective service occupations",34000,2020
"Men","Service occupations, except protective",62000,2020
"Men","Sales and related occupations",81000,2020
"Men","Office and administrative support occupations",1023000,2020
"Men","Farming, fishing, and forestry occupations",2000,2020
"Men","Construction and extraction occupations",205000,2020
"Men","Installation, maintenance, and repair occupations",502000,2020
"Men","Production occupations",301000,2020
"Men","Transportation and material moving occupations",3271000,2020
"Men","Management, business, and financial operations occupations",361000,2020
"Men","Professional and related occupations",690000,2020
"Men","Protective service occupations",3000,2020
"Men","Service occupations, except protective",22000,2020
"Men","Sales and related occupations",118000,2020
"Men","Office and administrative support occupations",114000,2020
"Men","Farming, fishing, and forestry occupations",0,2020
"Men","Construction and extraction occupations",12000,2020
"Men","Installation, maintenance, and repair occupations",194000,2020
"Men","Production occupations",15000,2020
"Men","Transportation and material moving occupations",16000,2020
"Men","Management, business, and financial operations occupations",2454000,2020
"Men","Professional and related occupations",621000,2020
"Men","Protective service occupations",36000,2020
"Men","Service occupations, except protective",146000,2020
"Men","Sales and related occupations",1140000,2020
"Men","Office and administrative support occupations",430000,2020
"Men","Farming, fishing, and forestry occupations",1000,2020
"Men","Construction and extraction occupations",46000,2020
"Men","Installation, maintenance, and repair occupations",151000,2020
"Men","Production occupations",25000,2020
"Men","Transportation and material moving occupations",72000,2020
"Men","Management, business, and financial operations occupations",2788000,2020
"Men","Professional and related occupations",4224000,2020
